id;name;state;city;street;street_number;latitude;longitude;capacity;map_link
1;Gorgeous Cotton Shirt Grocery;Factors;Howellchester;Buckridge Views;instruction set Seychelles lime;90904;90932;34833;Romania encompassing
2;backing up invoice;Borders olive Central;Bernhardville;Heaney Squares;Uruguay SDD;92409;63896;76963;Hat Direct
3;Sports throughput SSL;Lek Berkshire incubate;Kaylichester;Jacobi Ports;United States Minor Outlying Islands cross-platform back up;45101;22128;18992;Nevada
4;Developer;Regional indigo;Sammyborough;Edwin Hollow;24/7;83042;4599;20750;functionalities El Salvador
5;Alabama Fresh;support Metal feed;East Adonis;Kiehn Forks;Designer Handcrafted;18855;68767;41118;Cheese leverage
6;navigate Rustic Yen;Investor Product;Jeramieberg;Sid Canyon;forecast;66574;46409;33528;matrix
7;Adaptive;toolset Strategist;Lake Roger;Sandrine Shoals;Object-based Auto Loan Account;20861;4980;27343;Mouse cross-media synthesizing
8;Concrete;global Platinum;Port Neha;Effertz Bypass;cyan data-warehouse;28149;80180;23705;Money Market Account
9;program Credit Card Account Concrete;orchestration Robust overriding;Francoton;Destini Isle;Squares Gorgeous Steel Bike Idaho;4979;23528;30732;Generic Associate Associate
10;Brunei Darussalam;Utah;Dannytown;Natalia Inlet;pixel bandwidth Web;26762;5889;70365;Papua New Guinea Future bypass
